net,length_um
net13,228.84µm
net1,175.75µm
net35,172.44µm
net15,154.425µm
net4,151.62µm
net48,149.48µm
net8,145.08µm
net39,142.695µm
net6,141.96µm
net9,137.84µm
net36,127.38µm
net2,124.84µm
net37,119.57µm
net34,108.82µm
net3,108.8µm
net12,107.84µm
net11,99.96µm
net43,96.24µm
net33,91.655µm
net47,90.22µm
net42,85.01µm
_102_,81.32µm
net44,73.68µm
_143_,70.06µm
net54,69.44µm
_061_,69.38µm
net38,67.94µm
net16,66.82µm
_036_,62.82µm
net40,61.98µm
net20,59.7µm
_175_,56.58µm
_195_,53.675µm
net18,53.52µm
_078_,49.68µm
net46,49.44µm
net19,49.08µm
_112_,46.81µm
_077_,46.56µm
net45,45.7µm
_226_,44.56µm
net21,40.94µm
_104_,40.9µm
_017_,39.88µm
_080_,39.66µm
net56,39.44µm
_049_,38.06µm
_153_,36.72µm
net32,36.26µm
net69,36.18µm
_212_,36.06µm
_116_,35.4µm
_210_,35.38µm
_087_,34.9µm
_115_,34.52µm
_128_,33.38µm
_089_,32.86µm
net41,32.84µm
net7,32.66µm
_185_,31.88µm
_222_,31.56µm
_006_,31.525µm
_097_,31.485µm
_120_,31.3µm
_230_,31.28µm
_197_,31.18µm
net77,31.16µm
_188_,30.98µm
net14,29.86µm
_015_,29.79µm
_163_,29.46µm
net93,29.3µm
net31,28.86µm
_164_,28.285µm
_200_,27.47µm
net26,27.44µm
_173_,26.92µm
_178_,26.68µm
net25,26.52µm
_166_,26.24µm
_074_,26.22µm
_154_,25.58µm
_024_,24.68µm
net49,24.68µm
_052_,24.3µm
_203_,24.14µm
_034_,23.8µm
_177_,23.52µm
_004_,23.36µm
_023_,23.34µm
_083_,23.34µm
_081_,23.32µm
_198_,23.16µm
_186_,22.76µm
_031_,22.54µm
_043_,22.4µm
net101,22.38µm
_071_,22.3µm
net75,22.22µm
net94,21.84µm
_096_,21.8µm
net70,21.68µm
_218_,21.66µm
_075_,21.6µm
_066_,21.42µm
net10,21.4µm
_133_,21.36µm
_109_,20.86µm
_180_,20.77µm
net30,20.66µm
_060_,20.64µm
_169_,20.6µm
_000_,19.84µm
_223_,19.78µm
net102,19.32µm
_018_,19.14µm
_050_,19.08µm
_216_,19.02µm
_084_,18.88µm
_041_,18.86µm
_187_,18.74µm
_101_,18.7µm
_069_,18.56µm
_124_,18.12µm
_073_,18.08µm
_207_,18µm
_013_,17.88µm
_019_,17.855µm
_171_,17.72µm
_042_,17.5µm
_208_,17.36µm
_151_,17.14µm
_217_,17.12µm
_105_,16.96µm
_138_,16.92µm
_123_,16.88µm
net29,16.76µm
_032_,16.28µm
_033_,16.18µm
_213_,15.7µm
_192_,15.66µm
_051_,15.56µm
_117_,15.56µm
P[12],15.36µm
_012_,15.34µm
_211_,15.15µm
_044_,15.14µm
_121_,15.02µm
_132_,15.02µm
_054_,14.9µm
_011_,14.88µm
_014_,14.7µm
_205_,14.68µm
_176_,14.64µm
_085_,14.46µm
_199_,14.44µm
_183_,14.06µm
_062_,14µm
_189_,13.94µm
_127_,13.75µm
_010_,13.62µm
_149_,13.5µm
_229_,13.48µm
_137_,13.42µm
net5,13.42µm
_168_,13.3µm
P[11],13.06µm
_191_,12.96µm
_058_,12.92µm
_099_,12.915µm
_005_,12.72µm
_038_,12.64µm
_135_,12.42µm
_224_,12.3µm
_201_,12.28µm
_165_,12.24µm
_119_,12.18µm
_008_,12.16µm
_202_,12.11µm
_098_,11.98µm
_181_,11.87µm
_030_,11.66µm
_170_,11.66µm
_157_,11.63µm
_055_,11.58µm
_029_,11.385µm
P[10],11.34µm
_196_,11.34µm
_158_,11.12µm
_037_,11.04µm
_136_,10.96µm
_220_,10.93µm
_048_,10.84µm
net24,10.82µm
_026_,10.74µm
_194_,10.62µm
net72,10.48µm
_027_,10.4µm
_021_,10.3µm
_070_,10.2µm
_106_,10.2µm
_046_,9.96µm
_145_,9.94µm
_093_,9.44µm
_111_,9.44µm
_206_,9.44µm
_193_,9.265µm
_028_,9.24µm
_129_,9.24µm
_114_,9.12µm
_148_,9.1µm
_146_,9.04µm
_147_,8.925µm
_091_,8.92µm
B[2],8.84µm
_172_,8.78µm
A[0],8.72µm
A[1],8.72µm
A[2],8.72µm
A[3],8.72µm
B[3],8.72µm
_020_,8.7µm
_131_,8.66µm
_219_,8.62µm
_190_,8.58µm
P[2],8.5µm
P[3],8.5µm
_126_,8.44µm
_079_,8.34µm
_065_,8.14µm
net55,8.1µm
_209_,8.06µm
_082_,7.98µm
_221_,7.94µm
_141_,7.9µm
net51,7.7µm
_059_,7.68µm
_125_,7.64µm
_134_,7.64µm
_064_,7.575µm
_022_,7.44µm
_107_,7.44µm
_215_,7.22µm
_007_,7.2µm
_057_,7.2µm
_155_,7.18µm
_182_,7.18µm
_144_,7.08µm
_072_,7µm
_095_,6.94µm
_118_,6.94µm
_167_,6.78µm
B[1],6.77µm
_076_,6.64µm
_130_,6.64µm
_009_,6.52µm
P[13],6.43µm
P[15],6.43µm
_174_,6.4µm
A[7],6.31µm
_122_,6.3µm
_016_,6.28µm
net22,6.24µm
_152_,6.18µm
_184_,6.18µm
A[5],6.09µm
B[4],6.09µm
B[6],6.09µm
P[14],6.09µm
_204_,6.08µm
_160_,6.06µm
A[4],5.97µm
_228_,5.96µm
_067_,5.94µm
net58,5.94µm
P[6],5.87µm
net71,5.84µm
_140_,5.8µm
P[0],5.75µm
P[1],5.75µm
_003_,5.74µm
_108_,5.7µm
_156_,5.68µm
net28,5.52µm
B[5],5.41µm
_002_,5.38µm
_035_,5.38µm
net17,5.38µm
A[6],5.29µm
_094_,5.26µm
_088_,5.225µm
_001_,5.22µm
_056_,5.22µm
_227_,5.22µm
P[7],5.19µm
P[4],5.07µm
_045_,5.06µm
_162_,4.95µm
net27,4.92µm
net103,4.9µm
P[8],4.85µm
_139_,4.8µm
_179_,4.76µm
net100,4.76µm
B[0],4.73µm
P[5],4.73µm
P[9],4.73µm
B[7],4.61µm
mul_ll.mul_ll.pp0,4.6µm
_150_,4.46µm
net76,4.44µm
_053_,4.42µm
net78,4.39µm
_113_,4.34µm
_039_,4.22µm
_025_,4.14µm
_103_,3.88µm
_161_,3.88µm
_090_,3.76µm
_040_,3.68µm
_063_,3.56µm
_068_,3.54µm
_142_,3.54µm
_159_,3.54µm
net50,3.54µm
net57,3.44µm
net68,3.44µm
net74,3.3µm
_110_,3.18µm
_086_,3.08µm
_092_,2.96µm
_214_,2.96µm
_100_,2.84µm
_047_,2.62µm
net95,2.62µm
net53,2.52µm
net23,2.3µm
_225_,2.18µm
net52,1.7µm
net67,1.48µm
