net,length_um
net4,39.68µm
net2,39.27µm
net3,29.08µm
net8,26.6µm
net1,26.1µm
net7,12.5µm
B[1],11µm
P[1],10.32µm
P[2],8.96µm
A[1],5.97µm
P[3],5.75µm
_2_,5.68µm
P[0],5.07µm
A[0],4.61µm
B[0],4.61µm
_1_,3.32µm
net6,2.5µm
net5,2.3µm
_0_,0.46µm
