net,length_um
net13,223.67µm
net42,188.84µm
net39,163.76µm
net15,156.4µm
net36,149.2µm
net4,146.46µm
net8,127.14µm
net11,125.2µm
net41,123.76µm
net43,121.86µm
net5,120.46µm
net6,110.94µm
net12,107.2µm
net38,106.26µm
net34,106.045µm
net9,105.3µm
net37,104.94µm
net71,94µm
net7,88.2µm
net2,83.82µm
_087_,74.6µm
_148_,73.89µm
net14,73.34µm
_167_,72.2µm
_066_,71.8µm
_201_,70.82µm
net35,67.92µm
net67,65.84µm
_040_,64.96µm
net16,62.56µm
net40,62.11µm
_168_,61.46µm
net29,58.14µm
net31,56.92µm
net56,56.24µm
_206_,54.17µm
net30,53.24µm
net19,52.58µm
_055_,51.06µm
_095_,50.36µm
net17,50.16µm
net26,49.92µm
_110_,49.4µm
net18,48.7µm
_176_,47.78µm
net27,46.96µm
_089_,46.68µm
net53,45.94µm
_011_,45.05µm
net45,41µm
net28,40.98µm
_169_,39.78µm
_178_,39.72µm
_097_,38.32µm
_123_,37.56µm
_120_,35.65µm
_221_,35.4µm
_128_,34.58µm
net46,32.755µm
_216_,32.7µm
net44,32.22µm
_061_,32.06µm
_019_,31.5µm
_191_,31.08µm
net25,30.82µm
_058_,30.51µm
_016_,30.44µm
net49,30µm
_104_,29.82µm
_004_,29.74µm
_090_,29.28µm
_182_,28.24µm
_105_,28.1µm
_158_,27.86µm
_106_,27.64µm
net20,26.34µm
_151_,25.34µm
_083_,24.7µm
_219_,24.22µm
_210_,24.06µm
_204_,23.88µm
_215_,23.76µm
net52,23.54µm
_156_,23.52µm
_000_,23.375µm
_209_,23.2µm
net48,22.26µm
_222_,22.22µm
_111_,22.09µm
_196_,21.78µm
_223_,21.62µm
_180_,21.5µm
_009_,21.48µm
_026_,21.1µm
_134_,21.1µm
_214_,20.66µm
_232_,20.44µm
_227_,20.38µm
_173_,20.14µm
_006_,20.11µm
_159_,19.94µm
_172_,19.88µm
_183_,19.88µm
_038_,19.7µm
_028_,19.5µm
_170_,19.5µm
_205_,19.34µm
_142_,19.24µm
_045_,19.18µm
_117_,19.04µm
_144_,18.295µm
_109_,18.18µm
_091_,18.08µm
_021_,17.9µm
net10,17.86µm
_220_,17.74µm
_124_,17.66µm
_152_,17.6µm
_080_,17.44µm
_003_,17.14µm
_139_,16.98µm
_081_,16.56µm
_057_,16.46µm
_150_,16.32µm
net58,16.18µm
_174_,15.84µm
_056_,15.8µm
_226_,15.78µm
_185_,15.68µm
_049_,15.64µm
_074_,15.52µm
_013_,15.455µm
_078_,15.44µm
net3,15.3µm
_046_,15.26µm
_224_,15.2µm
_202_,14.94µm
P[10],14.9µm
_131_,14.88µm
_025_,14.84µm
_184_,14.82µm
_129_,14.8µm
_035_,14.52µm
_023_,14.46µm
_125_,14.42µm
net55,14.4µm
_063_,14.34µm
_001_,14.08µm
_050_,14.06µm
_039_,14.04µm
_230_,13.92µm
_108_,13.88µm
_162_,13.88µm
_022_,13.54µm
net24,13.46µm
_130_,13.425µm
_181_,13.34µm
_102_,13.3µm
_157_,13.3µm
_154_,13.26µm
net1,13.22µm
_163_,13.18µm
_207_,13.15µm
P[12],13.06µm
_137_,12.96µm
_068_,12.62µm
B[2],12.24µm
_103_,12.1µm
_141_,12.08µm
_076_,11.84µm
P[11],11.8µm
_048_,11.8µm
_217_,11.775µm
_194_,11.7µm
_218_,11.7µm
_079_,11.595µm
_047_,11.2µm
_119_,11.04µm
_010_,10.92µm
_077_,10.88µm
_034_,10.76µm
_146_,10.68µm
_126_,10.62µm
_225_,10.54µm
_171_,10.44µm
_143_,10.38µm
_165_,10.34µm
_212_,10.3µm
_197_,10.24µm
_198_,10.24µm
net64,10.22µm
_060_,10.16µm
_036_,10.12µm
B[1],10.1µm
_002_,10µm
_200_,9.98µm
_122_,9.9µm
_115_,9.74µm
_133_,9.73µm
_101_,9.7µm
A[2],9.64µm
_127_,9.5µm
_042_,9.475µm
net23,9.36µm
_112_,9.34µm
_140_,9.34µm
_098_,9.32µm
_138_,9.28µm
_175_,9.02µm
P[1],8.96µm
P[3],8.96µm
_075_,8.86µm
A[1],8.84µm
B[0],8.84µm
_233_,8.82µm
A[3],8.72µm
B[3],8.72µm
net47,8.72µm
_005_,8.7µm
net60,8.7µm
_179_,8.58µm
P[2],8.5µm
_017_,8.3µm
_153_,8.28µm
A[0],8.26µm
_041_,8.1µm
_177_,8.06µm
_228_,8.06µm
_065_,7.98µm
_088_,7.66µm
_062_,7.52µm
_092_,7.52µm
_195_,7.52µm
_072_,7.38µm
_012_,7.32µm
net69,7.16µm
_067_,7.14µm
_100_,7.06µm
_015_,6.96µm
_187_,6.86µm
_053_,6.84µm
_203_,6.78µm
_114_,6.74µm
_084_,6.64µm
net62,6.64µm
_149_,6.62µm
