net,length_um
net6,190.98µm
net13,186.72µm
net36,170.56µm
net46,160.24µm
net5,137.96µm
net14,130.38µm
net35,128.77µm
net3,128.14µm
net4,125.45µm
net38,116.96µm
net34,116.7µm
net50,114.64µm
net44,114.2µm
net43,111.9µm
net9,106.755µm
net37,105.26µm
net45,97.78µm
net33,97.47µm
net1,93.1µm
net74,89.48µm
net2,86.92µm
net51,81.92µm
_216_,81.02µm
_115_,79.74µm
net41,78.985µm
net11,77.94µm
net10,74.68µm
net12,72.66µm
_218_,67.94µm
net29,67.08µm
_035_,66.74µm
_049_,63.54µm
net48,63.06µm
_079_,62.86µm
_149_,59.32µm
net49,59.2µm
_163_,58.46µm
net25,57.02µm
_139_,56.84µm
net28,56.74µm
net16,56.72µm
net15,54.88µm
net42,54.51µm
net26,53.26µm
net85,53.08µm
_114_,52.74µm
net30,52.32µm
net27,52.22µm
net68,50.78µm
net70,49.56µm
_243_,45.88µm
_206_,45.54µm
_226_,45.5µm
_230_,43.82µm
net8,43.74µm
_039_,43.24µm
_191_,42.86µm
_030_,42.08µm
net53,41.995µm
net31,41.7µm
_037_,41.52µm
net39,40.91µm
_150_,39.06µm
net87,37.42µm
_184_,37.26µm
_001_,36.86µm
_258_,36.1µm
_162_,35.3µm
_023_,35.26µm
_000_,33.96µm
_096_,33.95µm
_012_,33.85µm
net18,33.54µm
_274_,33.14µm
_212_,33.12µm
_089_,33.04µm
net52,32.97µm
_071_,32.54µm
net17,31.48µm
_223_,31.42µm
_125_,31µm
_019_,30.28µm
_267_,30.1µm
net40,30.1µm
_062_,30.06µm
_240_,29.21µm
_119_,28.2µm
_152_,27.96µm
_130_,27.9µm
_228_,27.86µm
_009_,27.56µm
_025_,27.44µm
_122_,27.26µm
_244_,27.16µm
_076_,27.12µm
_222_,26.52µm
_276_,26.465µm
net75,25.96µm
_245_,25.88µm
_077_,25.52µm
_273_,25.52µm
net47,25.42µm
_057_,25.14µm
_074_,24.44µm
net83,23.82µm
_091_,23.72µm
_176_,23.6µm
net77,23.34µm
_252_,23.22µm
_249_,23.1µm
_179_,23.07µm
_247_,22.825µm
_064_,22.2µm
_107_,22µm
_208_,22µm
net69,21.7µm
_006_,21.68µm
_144_,21.53µm
_250_,21.36µm
net65,21.12µm
_145_,21µm
_056_,20.94µm
_275_,20.8µm
net7,20.8µm
_070_,20.66µm
net88,20.64µm
_014_,20.6µm
_099_,20.56µm
_081_,20.4µm
_128_,20.28µm
net71,20.24µm
_024_,20.22µm
net20,20µm
_033_,19.82µm
_050_,19.74µm
_108_,19.7µm
_254_,19.625µm
_168_,19.56µm
_113_,19.52µm
_203_,19.52µm
_269_,19.48µm
_085_,19.42µm
_131_,19.32µm
_235_,19.24µm
_234_,18.82µm
_135_,18.64µm
_164_,18.6µm
