net,length_um
net3,47µm
_10_,39.12µm
net8,28.92µm
_22_,25.25µm
net6,24.46µm
net2,23.82µm
_26_,22.46µm
_02_,21.96µm
_14_,21.34µm
_00_,20.04µm
net1,19.64µm
net4,19.48µm
net7,18.97µm
_05_,18.36µm
_13_,17.28µm
net5,17.16µm
_29_,16.38µm
A[0],15.62µm
B[0],14.7µm
_08_,14.48µm
_19_,14.36µm
_11_,13.42µm
_33_,13.28µm
_04_,13.2µm
_31_,12.1µm
A[1],11.36µm
P[5],10.32µm
_06_,10.1µm
_16_,9.48µm
B[1],9.18µm
P[0],8.96µm
P[1],8.96µm
_36_,8.88µm
A[3],6.45µm
_03_,6.44µm
B[2],5.97µm
P[6],5.75µm
P[7],5.75µm
_12_,5.36µm
A[2],5.29µm
B[3],5.29µm
_18_,5.26µm
_34_,5.26µm
_23_,5.22µm
P[3],5.07µm
_35_,5.02µm
net11,4.94µm
_01_,4.8µm
P[2],4.73µm
net12,4.48µm
P[4],4.39µm
_30_,4.32µm
_09_,4.22µm
net13,4.14µm
_15_,4.08µm
_17_,4µm
_24_,3.78µm
_25_,3.78µm
_07_,3.52µm
mul_ll.pp1,3.44µm
net9,3.42µm
net15,2.96µm
_32_,2.62µm
_27_,2.5µm
net16,2.5µm
_21_,2.43µm
_28_,2.3µm
net14,2.04µm
_20_,1.38µm
net10,0.92µm
