net,length_um
net8,51.48µm
net3,39.36µm
_015_,38.1µm
_034_,34.22µm
net4,34.01µm
net1,33.6µm
net5,28.07µm
_003_,27.76µm
net6,27.61µm
net9,25.54µm
_011_,24.1µm
_019_,23.02µm
net7,22.68µm
_008_,21.89µm
_013_,19.76µm
net2,18.88µm
_027_,16.44µm
_043_,15.88µm
_028_,15.08µm
_041_,15µm
_002_,14.68µm
_023_,14.08µm
_006_,14.04µm
_009_,13.73µm
_030_,13.72µm
_018_,13.18µm
_020_,12.92µm
B[1],12.86µm
_032_,11.62µm
_022_,11.46µm
_044_,11µm
A[0],10.56µm
_014_,10.54µm
P[5],10.32µm
P[6],10.32µm
_000_,10.08µm
_042_,10.02µm
_037_,9.96µm
B[0],9.86µm
_021_,9.745µm
P[2],8.96µm
A[1],8.72µm
_004_,8.2µm
B[2],7.93µm
_026_,7.32µm
_010_,7.24µm
_017_,6.84µm
net16,6.64µm
_024_,6.52µm
_001_,6.4µm
_012_,6.26µm
P[1],6.23µm
_016_,5.82µm
_039_,5.78µm
P[0],5.75µm
P[7],5.75µm
_038_,4.8µm
B[3],4.73µm
A[2],4.61µm
A[3],4.61µm
P[3],4.39µm
P[4],4.39µm
_029_,3.42µm
_040_,2.96µm
net15,2.64µm
net11,2.52µm
_005_,2.18µm
_025_,2.18µm
_007_,2.16µm
_036_,2.16µm
net12,2.16µm
_031_,2.06µm
_046_,2.06µm
net14,2.06µm
net10,2.04µm
_045_,1.915µm
net13,1.26µm
_035_,1.14µm
_033_,0.46µm
