net,length_um
net1,31.2µm
net3,28.48µm
net2,16.5µm
net5,16.02µm
A[1],11µm
P[2],10.32µm
P[3],10.32µm
A[0],10.08µm
B[0],10.08µm
B[1],10.08µm
P[1],9.86µm
P[0],8.96µm
net4,7.9µm
net8,6.86µm
net7,3.88µm
net6,3.42µm
_0_,2.48µm
_1_,0.92µm
