net,length_um
net15,203.185µm
net37,188.68µm
net36,184.02µm
net14,170.9µm
net33,160.19µm
net13,147.56µm
net6,143.7µm
net34,137.13µm
net47,136.84µm
net43,134.92µm
net9,123.86µm
net42,122.58µm
net35,118.68µm
net41,112.42µm
net16,108.995µm
net46,105.06µm
net5,103.16µm
net2,89.62µm
_032_,88.04µm
net4,86.06µm
_215_,84.08µm
net38,81.235µm
net44,78.04µm
net39,77.6µm
_161_,75.34µm
net3,74.38µm
_004_,71.12µm
net1,70.38µm
net68,67.6µm
net30,64.9µm
_136_,62.86µm
_046_,62.5µm
net29,60.34µm
net45,59.98µm
_078_,58.7µm
_162_,57.92µm
net65,57.38µm
_113_,56.765µm
_206_,55.2µm
_192_,52.3µm
net28,52.02µm
_248_,52µm
_217_,51.96µm
net31,51.48µm
net32,51.38µm
net59,51.3µm
net7,50.36µm
net26,49.66µm
net20,48.76µm
_219_,48µm
_237_,47.58µm
_227_,46.52µm
_234_,46.015µm
net18,45.96µm
_269_,45.86µm
net19,44.94µm
net11,44.02µm
net73,43.64µm
net27,43.34µm
_132_,41.9µm
_216_,41.56µm
_222_,41.26µm
net21,40.48µm
_102_,38.28µm
_236_,37.88µm
_037_,36.32µm
_073_,35.9µm
_240_,33.96µm
_089_,33.6µm
_075_,33.46µm
_196_,32.78µm
_088_,32.66µm
_155_,32.4µm
_149_,31.88µm
net12,31.3µm
net40,30.84µm
_054_,30.565µm
_012_,30.2µm
_190_,29.42µm
_272_,29.33µm
_104_,29.14µm
_203_,28.98µm
_095_,28.63µm
_208_,27.76µm
_082_,27.74µm
_127_,27.34µm
_109_,27.18µm
_029_,27.08µm
_254_,27.06µm
_177_,26.38µm
net72,26.38µm
net8,26.14µm
_173_,25.78µm
_065_,25.66µm
_068_,25.3µm
_128_,25.08µm
_059_,24.92µm
_146_,24.8µm
_169_,24.46µm
_003_,24.34µm
_158_,23.92µm
_274_,23.26µm
net17,23.13µm
_027_,22.58µm
_067_,22.58µm
_230_,22.3µm
_006_,22.16µm
_141_,21.92µm
_147_,21.52µm
_061_,21.46µm
_080_,21.2µm
_009_,21µm
_035_,20.72µm
net49,20.71µm
_257_,20.68µm
_041_,20.5µm
_275_,20.39µm
_267_,20.12µm
_186_,19.8µm
_246_,19.66µm
_221_,19.4µm
_165_,19.375µm
_119_,19.32µm
net48,19.22µm
_114_,19.08µm
_225_,18.92µm
_045_,18.53µm
_090_,18.48µm
_043_,18.24µm
_033_,18.22µm
_076_,17.86µm
_086_,17.82µm
_258_,17.44µm
_245_,17.1µm
_084_,16.94µm
_118_,16.92µm
_018_,16.45µm
_260_,16.4µm
_042_,16.2µm
_197_,16.1µm
_268_,16.1µm
_121_,16.06µm
_122_,15.68µm
_057_,15.6µm
_011_,15.56µm
_224_,15.48µm
_070_,15.28µm
_253_,14.9µm
_151_,14.89µm
_002_,14.845µm
_244_,14.84µm
_019_,14.74µm
_017_,14.34µm
_142_,14.32µm
_164_,14.26µm
_040_,14.2µm
_097_,14.18µm
_093_,14.14µm
_200_,14.1µm
_264_,14.06µm
_023_,13.98µm
_050_,13.98µm
net58,13.68µm
_157_,13.14µm
_205_,13.14µm
_055_,13.12µm
net70,13.06µm
_191_,13.04µm
_053_,12.92µm
_051_,12.76µm
_178_,12.76µm
_125_,12.64µm
_130_,12.64µm
_016_,12.46µm
_259_,12.38µm
_134_,12.24µm
_039_,12.18µm
_182_,12.12µm
_166_,12.02µm
_074_,11.88µm
_262_,11.88µm
_030_,11.72µm
_210_,11.62µm
_024_,11.56µm
P[13],11.46µm
_185_,11.44µm
_195_,11.2µm
_137_,11.14µm
_100_,11.12µm
A[6],10.88µm
B[6],10.88µm
P[14],10.88µm
_211_,10.74µm
_232_,10.74µm
_251_,10.74µm
_085_,10.7µm
_094_,10.66µm
_112_,10.46µm
A[7],10.42µm
B[7],10.42µm
P[15],10.42µm
_025_,10.42µm
_063_,10.32µm
_194_,10.28µm
_098_,10.12µm
_273_,10.12µm
B[5],10.1µm
