net,length_um
net13,265.94µm
net36,191.16µm
net35,158.64µm
net33,156.93µm
net9,153.34µm
net4,143.16µm
net42,140.8µm
net43,136.8µm
net39,132.16µm
net6,128.68µm
net15,127.46µm
net8,126.48µm
net37,126.415µm
net14,123.46µm
net41,122.1µm
net2,110.82µm
net47,100.1µm
net11,94.26µm
net12,89.44µm
net7,83.71µm
net48,81.98µm
net3,75.62µm
_020_,75.25µm
net44,75.14µm
net19,70.82µm
net34,70.04µm
net40,69.14µm
net69,67.08µm
net18,66.64µm
net45,61.81µm
net32,61.28µm
_037_,60.48µm
net38,59.02µm
_064_,58.68µm
_002_,57.74µm
net20,57.1µm
net70,56.6µm
net31,56µm
net55,53.56µm
_025_,53.24µm
net29,53.08µm
net21,52.76µm
net16,51.88µm
net30,51.86µm
_090_,51.36µm
_158_,51.12µm
_148_,50.02µm
net52,46.02µm
_054_,45.68µm
net28,45.4µm
_082_,45.16µm
net57,44.64µm
_177_,43.38µm
net5,43µm
_086_,41.74µm
net27,41.74µm
_171_,41.14µm
_095_,40.6µm
_179_,40.28µm
_022_,39.72µm
net56,38.68µm
_093_,37.76µm
_199_,37.76µm
net46,37.16µm
_094_,36.5µm
_213_,34.86µm
_169_,34.78µm
_021_,34.66µm
_207_,33.73µm
_053_,33.68µm
_035_,33.62µm
_156_,33.24µm
_119_,33.03µm
net50,32.18µm
_189_,31.44µm
_231_,31.06µm
_051_,30.8µm
_092_,30.56µm
_075_,30.44µm
_042_,30.4µm
_110_,30.26µm
_192_,28.8µm
_001_,28.28µm
_180_,28.02µm
_065_,27.94µm
_087_,27.62µm
_132_,27.18µm
_201_,26.66µm
net58,26.6µm
_033_,26.24µm
_202_,26.18µm
_015_,26.04µm
_068_,25.88µm
_184_,25.285µm
_108_,25.16µm
_030_,25.06µm
_124_,24.9µm
net60,24.72µm
_223_,24µm
_122_,23.9µm
_007_,23.885µm
_008_,23.86µm
_089_,23.86µm
_111_,23.58µm
net65,23.58µm
_006_,23.5µm
_140_,22.96µm
_228_,22.88µm
_102_,22.74µm
_127_,22.7µm
_125_,22.6µm
_128_,22.36µm
_154_,22.04µm
_074_,21.86µm
net53,21.54µm
_107_,21.46µm
_159_,21.42µm
_055_,21.24µm
_112_,21.16µm
_016_,20.86µm
_077_,20.68µm
net68,20.54µm
_129_,20.34µm
_182_,20.27µm
_084_,20.16µm
_204_,20µm
_101_,19.96µm
_088_,19.84µm
_099_,19.44µm
net26,19.4µm
_216_,19.24µm
_104_,19.14µm
_214_,18.84µm
_173_,18.78µm
_221_,18.52µm
_121_,18.44µm
_136_,18.2µm
_225_,18.1µm
_187_,17.86µm
_019_,17.8µm
_175_,17.74µm
_063_,17.68µm
_135_,17.44µm
_137_,17.44µm
_100_,17.38µm
_152_,17.28µm
_073_,17.26µm
_210_,17.06µm
_209_,16.98µm
_211_,16.86µm
_227_,16.84µm
_071_,16.76µm
_096_,16.72µm
_076_,16.46µm
_032_,16.4µm
_123_,16.36µm
P[10],16.28µm
_013_,16.22µm
_215_,16.04µm
_079_,15.68µm
_062_,15.64µm
_232_,15.5µm
_097_,15.4µm
_011_,15.38µm
P[11],15.36µm
_222_,15.24µm
net10,15.14µm
_165_,14.46µm
_085_,14.44µm
_072_,14.26µm
_000_,14.2µm
_181_,14.18µm
_067_,14.17µm
_141_,14.14µm
_153_,14.12µm
_195_,14.04µm
_233_,13.92µm
_081_,13.88µm
_103_,13.86µm
_206_,13.845µm
_212_,13.74µm
_080_,13.61µm
_194_,13.6µm
_145_,13.54µm
_196_,13.48µm
_036_,13.42µm
_029_,13.375µm
_061_,13.26µm
net73,13.22µm
_034_,13.16µm
_162_,13.15µm
_191_,13.1µm
P[12],13.06µm
P[13],13.06µm
_028_,12.92µm
_098_,12.92µm
_116_,12.84µm
_188_,12.82µm
_193_,12.66µm
_004_,12.51µm
_031_,12.3µm
_150_,12.3µm
B[2],12.24µm
_142_,12.08µm
net1,11.92µm
net51,11.72µm
_174_,11.7µm
_045_,11.5µm
_190_,11.46µm
_009_,11.42µm
_024_,11.2µm
_046_,11.2µm
_139_,11.08µm
_005_,10.96µm
_017_,10.88µm
_114_,10.88µm
_217_,10.88µm
_070_,10.775µm
_134_,10.74µm
_048_,10.64µm
_131_,10.39µm
_160_,10.38µm
_200_,10.2µm
_168_,9.94µm
_178_,9.7µm
_012_,9.36µm
net22,9.3µm
_161_,9.24µm
net62,9.12µm
_197_,9.065µm
P[0],8.96µm
P[1],8.96µm
P[2],8.96µm
P[3],8.96µm
_118_,8.9µm
net25,8.9µm
A[1],8.72µm
A[2],8.72µm
A[3],8.72µm
B[1],8.72µm
B[3],8.72µm
_185_,8.7µm
_229_,8.62µm
net61,8.62µm
_058_,8.52µm
_166_,8.48µm
_203_,8.48µm
_038_,8.36µm
_023_,8.275µm
A[0],8.26µm
_138_,7.96µm
_040_,7.715µm
_226_,7.6µm
_091_,7.1µm
net23,7.06µm
net59,6.86µm
_172_,6.78µm
_014_,6.76µm
_044_,6.64µm
_059_,6.6µm
net24,6.6µm
_218_,6.52µm
_060_,6.5µm
P[14],6.43µm
_026_,6.32µm
_198_,6.32µm
_220_,6.32µm
A[4],6.31µm
_043_,6.06µm
B[7],5.97µm
_170_,5.96µm
_039_,5.8µm
P[9],5.75µm
_010_,5.74µm
_144_,5.72µm
_163_,5.68µm
net17,5.68µm
B[6],5.63µm
_113_,5.6µm
B[4],5.41µm
B[5],5.41µm
P[7],5.41µm
A[6],5.29µm
_018_,5.28µm
_115_,5.26µm
_151_,5.26µm
_130_,5.22µm
P[15],5.07µm
P[5],5.07µm
net64,5.06µm
_078_,5.04µm
_149_,5.04µm
_050_,4.98µm
A[7],4.95µm
_146_,4.94µm
_126_,4.88µm
_230_,4.8µm
_052_,4.76µm
_106_,4.76µm
B[0],4.73µm
P[8],4.73µm
A[5],4.61µm
_157_,4.42µm
net67,4.42µm
P[4],4.39µm
P[6],4.39µm
_003_,4.34µm
_057_,4.34µm
_069_,4.34µm
_155_,4.32µm
_186_,4.2µm
_056_,4.02µm
_176_,4.02µm
_133_,4µm
_049_,3.88µm
_164_,3.88µm
net63,3.88µm
_167_,3.78µm
_066_,3.74µm
_083_,3.74µm
_208_,3.56µm
_224_,3.56µm
_027_,3.08µm
_041_,3.08µm
_120_,3.08µm
_183_,2.96µm
net49,2.96µm
_047_,2.62µm
_105_,2.5µm
_117_,2.38µm
_219_,2.3µm
net54,2.04µm
_205_,1.84µm
mul_ll.mul_ll.pp2,1.84µm
net66,1.82µm
_109_,1.7µm
_147_,1.7µm
_143_,1.26µm
mul_ll.mul_ll.pp1,0.92µm
