net,length_um
net5,21.46µm
_0_,19.4µm
net1,16.375µm
net3,14.9µm
net7,12.3µm
net8,11.7µm
A[1],11µm
B[1],10.08µm
P[1],9.86µm
P[0],8.5µm
_2_,7.98µm
net6,6.58µm
A[0],5.97µm
_1_,5.96µm
P[2],5.75µm
B[0],5.63µm
net2,5.48µm
P[3],5.07µm
net4,2.96µm
