net,length_um
net13,253.32µm
net9,219.24µm
net40,177.07µm
net14,155.32µm
net11,143.19µm
net1,137.22µm
net47,129.56µm
net35,124.26µm
net33,123.6µm
net45,121.86µm
net8,118.78µm
net36,117.58µm
net48,110.71µm
net12,108.32µm
net44,107.9µm
net16,106.2µm
net42,104.62µm
net43,101.92µm
net10,101.64µm
net15,90.92µm
_054_,90.5µm
net37,89.8µm
net6,87.68µm
net4,85.36µm
net78,82.3µm
net2,80.48µm
net38,80.155µm
net5,79µm
net49,77.56µm
net41,73.9µm
net34,73.675µm
net57,67.16µm
net32,65.46µm
_090_,64.8µm
_092_,60.2µm
net39,56.68µm
net28,54.12µm
net7,53.52µm
net31,53.42µm
_019_,52.8µm
_200_,52.76µm
_040_,52.66µm
net21,52.16µm
_049_,52.05µm
_145_,51.38µm
net46,51.32µm
_086_,51.2µm
net27,50.8µm
net30,49.72µm
_202_,47.69µm
_093_,46.9µm
net17,46.68µm
net20,46.6µm
_196_,45.98µm
net18,45.64µm
_225_,45.04µm
net29,44.94µm
_168_,44.22µm
_155_,44.18µm
_172_,43.52µm
_188_,42.37µm
_082_,42.36µm
_063_,41µm
net64,39.32µm
net19,38.74µm
net69,37.76µm
_007_,35.31µm
net70,35.08µm
_194_,34.92µm
_209_,34.56µm
_035_,32.5µm
_048_,32.5µm
_153_,32.1µm
_116_,30.98µm
_006_,30.76µm
_227_,29.9µm
_014_,29.59µm
_124_,29.585µm
_178_,29.48µm
_185_,29.04µm
_219_,28.78µm
_074_,28.5µm
_101_,28.48µm
_130_,28.13µm
_121_,28.1µm
_062_,27.86µm
_183_,27.82µm
_228_,27.04µm
net3,26.98µm
net56,26.84µm
_125_,26.82µm
_217_,26.22µm
_064_,25.82µm
_151_,25.535µm
_221_,25.1µm
_033_,24.76µm
_098_,24.72µm
_072_,24.64µm
net54,24.44µm
_198_,24.38µm
_108_,24.1µm
_164_,24.1µm
_213_,23.82µm
_204_,23.39µm
_005_,23µm
_015_,22.9µm
_002_,22.38µm
_094_,22.18µm
net65,21.88µm
_087_,21.7µm
_081_,21.5µm
_119_,21.42µm
_149_,21.34µm
net59,21.34µm
_133_,20.92µm
net71,20.92µm
_138_,20.74µm
_076_,20.62µm
_135_,20.44µm
net63,20.16µm
_067_,20.12µm
_102_,20µm
_060_,19.46µm
_122_,19.14µm
_118_,18.9µm
_034_,18.72µm
_069_,18.7µm
_199_,18.28µm
_061_,18.16µm
_205_,18.16µm
_201_,17.92µm
_031_,17.88µm
_084_,17.86µm
_107_,17.8µm
net62,17.74µm
_195_,17.24µm
_103_,17.12µm
_129_,16.99µm
_016_,16.72µm
_132_,16.68µm
_030_,16.38µm
_156_,16.26µm
_018_,16.14µm
_197_,16.06µm
_052_,15.88µm
net26,15.72µm
_022_,15.67µm
P[10],15.36µm
P[11],15.36µm
P[9],15.36µm
_099_,15.3µm
net72,15.14µm
_106_,14.92µm
_012_,14.74µm
_075_,14.74µm
_013_,14.52µm
_212_,14.52µm
_003_,14.48µm
P[12],14.44µm
_080_,14.38µm
_134_,14.38µm
_097_,14.36µm
_038_,14.345µm
_190_,14.06µm
_191_,13.94µm
_073_,13.84µm
_109_,13.72µm
_089_,13.64µm
_169_,13.58µm
_193_,13.54µm
_180_,13.52µm
_027_,13.45µm
_085_,13.4µm
_100_,13.4µm
_096_,13.32µm
net55,13.2µm
_104_,13.12µm
_184_,13.02µm
_046_,12.92µm
_177_,12.88µm
_215_,12.77µm
_150_,12.74µm
net25,12.58µm
_029_,12.54µm
_032_,12.54µm
net75,12.46µm
_059_,12.375µm
_026_,12.27µm
P[8],12.14µm
_010_,12.13µm
_115_,12µm
_037_,11.98µm
_000_,11.92µm
_140_,11.86µm
P[13],11.8µm
_008_,11.42µm
_139_,11.42µm
_147_,11.38µm
_088_,11.34µm
_011_,11.32µm
_066_,11.3µm
_143_,11.055µm
_207_,11.04µm
A[0],11.02µm
net66,10.88µm
_095_,10.675µm
_203_,10.62µm
_224_,10.62µm
_083_,10.58µm
A[3],10.56µm
_023_,10.46µm
_113_,10.32µm
_165_,10.28µm
_214_,10.2µm
_045_,10µm
_105_,9.88µm
_068_,9.86µm
B[3],9.64µm
_021_,9.58µm
_137_,9.48µm
net60,9.42µm
net73,9.32µm
B[1],9.18µm
P[1],8.96µm
P[2],8.96µm
P[3],8.96µm
_043_,8.88µm
_120_,8.86µm
A[1],8.84µm
_170_,8.78µm
B[2],8.72µm
_009_,8.48µm
_206_,8.4µm
A[2],8.38µm
_174_,8.36µm
_166_,8.34µm
_036_,8.32µm
_226_,8.3µm
_039_,8.14µm
_017_,8.1µm
_189_,8.06µm
net51,8.04µm
_041_,7.9µm
_111_,7.9µm
_146_,7.83µm
_211_,7.78µm
_057_,7.64µm
_160_,7.64µm
_001_,7.56µm
_053_,7.56µm
net24,7.52µm
_159_,7.5µm
_136_,7.48µm
_091_,7.4µm
_208_,7.32µm
_070_,7.28µm
net52,7.28µm
_154_,7.24µm
_158_,7.14µm
net67,7.12µm
_223_,6.86µm
net79,6.84µm
_024_,6.78µm
_187_,6.76µm
_157_,6.46µm
B[5],6.43µm
_112_,6.4µm
net74,6.32µm
_148_,6.28µm
_182_,6.26µm
_028_,6.14µm
_128_,6.14µm
_186_,6.14µm
A[4],6.09µm
P[15],6.09µm
_079_,6.06µm
P[6],5.87µm
_216_,5.86µm
_142_,5.84µm
_127_,5.8µm
P[0],5.75µm
P[5],5.75µm
_071_,5.68µm
net77,5.68µm
B[6],5.63µm
_218_,5.56µm
B[4],5.41µm
P[7],5.41µm
_050_,5.4µm
_131_,5.34µm
A[6],5.29µm
_175_,5.29µm
net58,5.28µm
_051_,5.26µm
_110_,5.26µm
P[14],5.07µm
mul_ll.mul_ll.pp1,5.06µm
A[7],4.95µm
B[7],4.95µm
_025_,4.92µm
_173_,4.92µm
net68,4.92µm
_020_,4.88µm
_056_,4.88µm
_117_,4.88µm
net53,4.88µm
_044_,4.78µm
_152_,4.76µm
_222_,4.76µm
B[0],4.73µm
P[4],4.73µm
_077_,4.68µm
_078_,4.68µm
A[5],4.61µm
_123_,4.54µm
_144_,4.54µm
_042_,4.48µm
_055_,4.42µm
net83,4.42µm
net82,4µm
_161_,3.9µm
_126_,3.88µm
net50,3.66µm
_004_,3.64µm
_210_,3.56µm
_179_,3.1µm
_058_,3.08µm
_167_,2.98µm
_162_,2.76µm
net76,2.62µm
_114_,2.5µm
_176_,2.5µm
_181_,2.5µm
net23,2.3µm
_065_,2.28µm
_163_,2.2µm
_220_,2.18µm
_171_,2.16µm
_047_,2.11µm
_192_,2.06µm
_141_,1.72µm
net61,1.6µm
net22,1.26µm
mul_ll.mul_ll.pp2,0.46µm
