net,length_um
net13,189.61µm
net6,177.84µm
net4,168.54µm
net11,162.55µm
net43,158.945µm
net8,149.5µm
net14,135.46µm
net44,128.92µm
net5,126.48µm
net15,125.76µm
net39,108.575µm
net35,107µm
net41,97.22µm
net48,92.04µm
net12,89.72µm
net86,84.44µm
_214_,81.16µm
_011_,75.52µm
net16,75.16µm
_249_,74.74µm
net74,74.08µm
net47,73.435µm
_066_,73.24µm
net37,71.98µm
_164_,71.02µm
net2,69.28µm
net42,69.1µm
_048_,65.7µm
_081_,65.57µm
net7,64.82µm
_131_,63.8µm
_088_,62.42µm
_250_,60.72µm
net40,58.68µm
_165_,56.54µm
net52,52.78µm
_099_,52.02µm
_215_,51.88µm
_248_,51.78µm
_049_,49.06µm
net30,48.92µm
_151_,48.86µm
net53,48.3µm
net27,47.78µm
_023_,47.53µm
_223_,47.52µm
net46,46.82µm
_006_,46.52µm
_132_,46.395µm
_226_,46.19µm
_190_,45.74µm
_210_,44.49µm
_161_,44.36µm
net3,43.86µm
net1,43.8µm
net80,42.8µm
_071_,40.02µm
_032_,39.98µm
_211_,39.78µm
_007_,39.74µm
_085_,39.705µm
_114_,39.415µm
net23,38.44µm
_155_,37.08µm
_257_,36.76µm
net34,36.73µm
net29,35.82µm
net28,35.6µm
_010_,35.4µm
_145_,34.65µm
_046_,34.54µm
_230_,34.3µm
_256_,33.7µm
_221_,33.6µm
_265_,33.335µm
_047_,32.76µm
_260_,32.16µm
net31,32.16µm
net36,32.115µm
_035_,31.88µm
net20,31.6µm
net32,31.5µm
net21,31.36µm
net17,31.05µm
_122_,30.72µm
_262_,30.66µm
_191_,30.26µm
_207_,29.84µm
net50,29.74µm
_005_,29.48µm
_272_,28.9µm
_101_,28.42µm
_147_,28.34µm
_018_,27.66µm
_040_,27.62µm
_197_,27.52µm
_142_,27.44µm
_124_,27.22µm
_044_,26.84µm
_148_,26.84µm
_153_,26.54µm
_201_,26.26µm
net18,25.64µm
_016_,25.34µm
_096_,24.84µm
net10,24.38µm
_116_,24.26µm
net22,24.12µm
_139_,24.1µm
_128_,23.88µm
_102_,23.72µm
_105_,23.06µm
net19,23µm
_038_,22.98µm
_233_,22.9µm
net70,22.9µm
_170_,22.86µm
_137_,22.74µm
_062_,22.7µm
_002_,22.1µm
_239_,22µm
_238_,21.82µm
_180_,21.8µm
_134_,21.69µm
_227_,21.6µm
_243_,20.92µm
_181_,20.74µm
net38,20.32µm
_157_,20.28µm
_169_,20.04µm
_013_,19.94µm
_216_,19.76µm
_055_,19.74µm
_026_,19.66µm
_091_,19.44µm
_269_,19.24µm
net54,19.11µm
_186_,19.1µm
_199_,19.06µm
_090_,19.02µm
_014_,18.96µm
_220_,18.88µm
_024_,18.86µm
_244_,18.385µm
_034_,18.04µm
_198_,17.96µm
net49,17.9µm
_028_,17.86µm
_109_,17.86µm
_073_,17.84µm
_271_,17.785µm
net57,17.76µm
_240_,17.68µm
_095_,17.66µm
_061_,17.58µm
_068_,17.56µm
_158_,17.4µm
_150_,17.355µm
net55,17.14µm
