net,length_um
net3,28.82µm
net2,7.64µm
A[1],5.97µm
P[2],5.75µm
net6,5.29µm
net1,4.82µm
B[1],4.61µm
net5,4.61µm
net4,4.61µm
pp1,3.08µm
