net,length_um
net13,228.82µm
net35,187.76µm
net9,179.16µm
net15,173.42µm
net53,168.02µm
net46,164.03µm
net12,151.14µm
net8,150.68µm
net1,147.8µm
net4,136.12µm
net44,134µm
net6,132.14µm
net43,117.725µm
net42,117.48µm
net11,113.28µm
net36,112.86µm
net2,112.5µm
net45,107.22µm
net39,105.955µm
net10,102.48µm
net38,96.32µm
_155_,94.78µm
net33,91.73µm
net40,90.43µm
_045_,89.11µm
net37,87.375µm
_132_,77.26µm
net60,75.98µm
net3,66.72µm
_080_,54.06µm
net34,53.12µm
_170_,52.94µm
net57,52.9µm
_053_,52.84µm
_027_,52.34µm
_041_,52.04µm
_073_,51.48µm
_105_,50.8µm
_211_,49.52µm
_189_,49.5µm
net41,49.06µm
_001_,48.36µm
_071_,47.32µm
net5,47.32µm
net7,47µm
net55,45.38µm
net32,41.26µm
net20,40.62µm
_173_,40.425µm
_219_,39.72µm
net16,39.42µm
net19,39.38µm
net21,38.78µm
net18,36.98µm
_167_,36.8µm
_070_,36.34µm
_110_,36.14µm
_032_,35.32µm
net22,35.14µm
_009_,34.86µm
net23,33.9µm
net14,32.76µm
net31,32.62µm
_149_,32.54µm
_089_,31.92µm
_157_,31.86µm
_106_,30.54µm
_206_,29.04µm
_165_,28.72µm
_178_,28.68µm
_156_,28.24µm
_150_,27.26µm
_077_,26.98µm
_202_,26.32µm
_081_,26.24µm
_116_,26.2µm
_076_,26.18µm
_102_,25.84µm
net30,25.46µm
_094_,25.38µm
_023_,25.28µm
_074_,25.26µm
_215_,25.16µm
_111_,24.84µm
_126_,24.48µm
_088_,24.3µm
_040_,24.18µm
_171_,24.12µm
_169_,24µm
_197_,23.92µm
_143_,23.8µm
_209_,22.69µm
_115_,22.43µm
_125_,22.43µm
_065_,22.35µm
_091_,22.3µm
_137_,22.28µm
_140_,22.08µm
_113_,21.84µm
_180_,21.62µm
_007_,20.9µm
_121_,20.56µm
_022_,20.42µm
_136_,20.12µm
_078_,19.995µm
_043_,19.56µm
_052_,19.37µm
_159_,19.24µm
_012_,18.98µm
_054_,18.9µm
_134_,18.83µm
_190_,18.69µm
_195_,18.6µm
_063_,18.42µm
_216_,18.375µm
_033_,18.28µm
_158_,18.26µm
_163_,18.18µm
_021_,17.6µm
_188_,17.5µm
_035_,16.94µm
_005_,16.83µm
_185_,16.735µm
_093_,16.6µm
_000_,16.48µm
_107_,16.22µm
_020_,15.87µm
_025_,15.58µm
_196_,15.52µm
_160_,15.48µm
_183_,15.48µm
_095_,15.44µm
_058_,15.36µm
_120_,15.3µm
net29,15.175µm
net59,15.06µm
_164_,14.88µm
_015_,14.76µm
_014_,14.73µm
_011_,13.88µm
net28,13.88µm
_066_,13.82µm
_208_,13.5µm
_064_,13.26µm
P[10],13.06µm
P[11],13.06µm
P[12],13.06µm
P[13],13.06µm
_101_,13.04µm
_038_,12.98µm
_017_,12.96µm
_124_,12.88µm
_119_,12.72µm
_019_,12.64µm
_099_,12.6µm
_004_,12.58µm
_013_,12.54µm
_131_,12.22µm
net52,11.92µm
_008_,11.66µm
_122_,11.62µm
_213_,11.58µm
_109_,11.46µm
_187_,11.34µm
_006_,10.98µm
_026_,10.78µm
_123_,10.7µm
_175_,10.495µm
P[14],10.42µm
_192_,10.285µm
_162_,10.28µm
_068_,10.26µm
_024_,10.2µm
_060_,10.06µm
_147_,9.94µm
_049_,9.93µm
_003_,9.9µm
_176_,9.835µm
_104_,9.82µm
_087_,9.8µm
_061_,9.58µm
_085_,9.54µm
_166_,9.52µm
_146_,9.4µm
_212_,9.1µm
_090_,8.98µm
_028_,8.94µm
_069_,8.9µm
A[0],8.84µm
B[3],8.84µm
A[1],8.72µm
A[2],8.72µm
A[3],8.72µm
B[2],8.72µm
_083_,8.56µm
_112_,8.56µm
P[1],8.5µm
P[2],8.5µm
P[3],8.5µm
_205_,8.36µm
_139_,8.14µm
_030_,8.12µm
_050_,8.1µm
_186_,8.1µm
_010_,8.02µm
_194_,7.86µm
_051_,7.68µm
_179_,7.68µm
net27,7.64µm
net49,7.64µm
_200_,7.56µm
_135_,7.54µm
_142_,7.45µm
_059_,7.42µm
_072_,7.4µm
_168_,7.32µm
_172_,7.32µm
net61,7.32µm
_075_,7.22µm
_096_,7.2µm
_203_,7.18µm
_044_,7.1µm
_214_,7.06µm
_097_,6.88µm
B[5],6.77µm
_129_,6.76µm
_056_,6.74µm
_182_,6.74µm
_118_,6.64µm
_161_,6.64µm
A[7],6.31µm
_204_,6.18µm
mul_ll.mul_ll.pp1,6.18µm
_018_,6.14µm
_047_,6.14µm
_138_,6.14µm
B[0],6.09µm
B[4],6.09µm
B[6],6.09µm
P[5],6.09µm
_191_,5.8µm
net47,5.74µm
_036_,5.72µm
_174_,5.72µm
net26,5.68µm
_201_,5.65µm
_217_,5.48µm
A[6],5.41µm
net17,5.38µm
_082_,5.34µm
_086_,5.34µm
_037_,5.335µm
B[7],5.29µm
_153_,5.28µm
_133_,5.24µm
net24,5.22µm
net50,5.16µm
_148_,5.1µm
A[5],5.07µm
P[0],5.07µm
P[15],5.07µm
P[7],5.07µm
_016_,5.055µm
net25,4.76µm
P[4],4.73µm
P[9],4.73µm
_098_,4.68µm
B[1],4.61µm
_184_,4.46µm
_218_,4.44µm
_084_,4.42µm
P[6],4.39µm
P[8],4.39µm
_034_,4.34µm
_100_,4.34µm
_141_,4.34µm
A[4],4.27µm
_144_,4.14µm
_130_,4.02µm
_108_,4µm
_062_,3.88µm
_193_,3.54µm
_199_,3.54µm
net56,3.54µm
_055_,3.44µm
_042_,3.42µm
_046_,3.42µm
_151_,3.42µm
_207_,3.42µm
net58,3.42µm
_210_,3.12µm
net48,2.98µm
_029_,2.96µm
_048_,2.96µm
_079_,2.96µm
_057_,2.64µm
_198_,2.64µm
_031_,2.62µm
_117_,2.62µm
_145_,2.52µm
_039_,2.5µm
_152_,2.5µm
net54,2.28µm
_067_,2.16µm
_114_,2.16µm
_002_,2.04µm
mul_ll.mul_ll.pp2,2.04µm
net51,1.84µm
_103_,1.82µm
_092_,1.7µm
_128_,1.7µm
_177_,1.7µm
_181_,1.26µm
_127_,0.92µm
_154_,0.92µm
