net,length_um
net37,229.08µm
net38,203.17µm
net48,201.82µm
net53,183.615µm
net54,182.74µm
net13,180.04µm
net34,174.7µm
net6,165.62µm
net5,163.42µm
net52,153.2µm
net46,151.08µm
net42,140.14µm
net14,139.54µm
net36,132.36µm
net11,130.5µm
net35,121.04µm
net2,118.18µm
net12,108.8µm
net45,105.32µm
net40,104.92µm
net4,99.92µm
net9,99.82µm
net43,88.71µm
net132,86.58µm
net47,78.66µm
net49,74.32µm
net55,71.04µm
_040_,70.92µm
_159_,70.7µm
net16,64.92µm
net44,62.76µm
_201_,62.64µm
_026_,61.9µm
net1,60.32µm
net126,60µm
_185_,59.68µm
net15,52.96µm
net28,52.22µm
_015_,52.04µm
_073_,51.72µm
net8,51.18µm
_212_,51.16µm
_114_,50.1µm
net41,49.98µm
net130,49.08µm
_082_,48.46µm
_041_,48.38µm
_030_,47.98µm
net17,47.7µm
net25,47.66µm
_028_,47.02µm
_186_,44.66µm
_160_,44.56µm
_012_,43.16µm
net30,40.52µm
net29,39.54µm
_217_,38.96µm
_087_,38.455µm
net7,38.4µm
_105_,37.84µm
net32,37.34µm
_222_,36.94µm
_174_,36.21µm
net50,35.44µm
_037_,34.4µm
_257_,34.38µm
_133_,34.31µm
net19,34.2µm
net20,33.38µm
_086_,32.88µm
net31,31.6µm
_048_,31.36µm
_143_,31.2µm
net39,30.92µm
_246_,30.08µm
_209_,30.04µm
_203_,29.4µm
net125,29.34µm
_014_,29.26µm
_079_,28.82µm
_233_,28.1µm
_019_,27.92µm
net18,27.76µm
_083_,27.7µm
net121,27.62µm
_027_,27.52µm
_253_,27.5µm
_060_,27.28µm
_232_,26.82µm
_225_,26.735µm
_223_,26.3µm
_145_,26.24µm
_080_,25.84µm
_067_,25.56µm
_202_,25.46µm
_138_,25.36µm
_178_,25.14µm
_147_,25.1µm
_241_,25.1µm
_134_,24.66µm
_071_,23.98µm
_139_,23.94µm
_089_,23.42µm
_103_,22.56µm
_047_,22.5µm
_183_,22.265µm
_135_,21.92µm
_267_,21.48µm
_156_,21.42µm
_096_,21.39µm
_192_,21.04µm
_110_,20.62µm
