net,length_um
_121_,5.8µm
B[0],5.75µm
_059_,5.72µm
_168_,5.72µm
_244_,5.72µm
net57,5.68µm
A[1],5.63µm
_119_,5.56µm
A[3],5.41µm
B[1],5.41µm
B[5],5.41µm
P[10],5.41µm
_148_,5.4µm
_186_,5.4µm
_210_,5.4µm
_274_,5.4µm
net26,5.4µm
_126_,5.38µm
A[4],5.29µm
_124_,5.28µm
_012_,5.26µm
_281_,5.26µm
_049_,5.24µm
_118_,5.14µm
net79,5.1µm
P[1],5.07µm
P[3],5.07µm
A[0],4.95µm
B[4],4.95µm
net69,4.92µm
_072_,4.88µm
_177_,4.88µm
net22,4.88µm
_163_,4.76µm
B[2],4.61µm
_016_,4.6µm
_043_,4.58µm
_035_,4.48µm
_080_,4.46µm
net24,4.46µm
P[0],4.39µm
P[11],4.39µm
P[12],4.39µm
_111_,4.36µm
_044_,4.34µm
_092_,4.34µm
_151_,4.34µm
_193_,4.34µm
_222_,4.34µm
_078_,4.02µm
_021_,3.88µm
net55,3.88µm
_040_,3.68µm
_100_,3.68µm
_153_,3.56µm
_160_,3.56µm
_047_,3.54µm
_143_,3.54µm
_037_,3.44µm
_191_,3.44µm
_245_,3.42µm
_028_,3.22µm
_200_,3.22µm
_203_,3.22µm
_241_,3.2µm
net72,3.18µm
_108_,3.1µm
_300_,3.1µm
_135_,2.98µm
net77,2.84µm
net71,2.74µm
_247_,2.62µm
_017_,2.52µm
_266_,2.52µm
_183_,2.5µm
_288_,2.18µm
_141_,2.16µm
_225_,2.16µm
_233_,2.16µm
_282_,2.16µm
_231_,2.06µm
_130_,2.04µm
_174_,2.04µm
_202_,2.04µm
_001_,1.94µm
_218_,1.84µm
_306_,1.84µm
net62,1.82µm
_115_,1.72µm
_304_,1.6µm
net81,1.6µm
net64,1.26µm
net78,1.14µm
mul_ll.mul_ll.pp0,0.92µm
_071_,0.46µm
_096_,0.46µm
