net,length_um
net37,231.32µm
net6,207.56µm
net15,176.5µm
net4,153.46µm
net14,150.76µm
net8,141.76µm
net36,141.705µm
net42,138.2µm
net13,129.08µm
net35,117.155µm
net45,104.56µm
net39,103.1µm
net16,100.74µm
net41,100.585µm
net33,97.48µm
net10,97.2µm
net12,95.96µm
net46,93.7µm
_019_,85.58µm
net9,79.7µm
net1,78.98µm
net47,76.42µm
_271_,75.3µm
net17,73.42µm
_223_,73.38µm
_053_,73.12µm
net11,71.36µm
net89,71.18µm
net50,69.4µm
_171_,68.84µm
_225_,67.78µm
net44,66.3µm
_040_,65.66µm
net5,62.52µm
net49,62.52µm
net7,62.48µm
net30,62.04µm
_247_,61.32µm
_199_,61.16µm
net92,58.32µm
net38,56.36µm
net34,55.72µm
_143_,54.87µm
net43,52.2µm
net91,52.14µm
_000_,50.44µm
_226_,49.64µm
_170_,48.86µm
net24,48.04µm
_085_,46.75µm
_154_,45.98µm
_039_,45.82µm
_251_,45.68µm
_245_,45.64µm
_092_,45.46µm
net48,45.2µm
_026_,44.34µm
_081_,44.04µm
net40,44.02µm
_013_,41.86µm
_130_,41.46µm
net19,38.6µm
net31,38.6µm
_006_,38.28µm
_036_,38.28µm
_167_,37.52µm
_215_,37.1µm
net2,36.94µm
_220_,36.72µm
net18,36.42µm
_120_,36.265µm
_001_,34.72µm
_061_,34.6µm
_144_,33.9µm
_162_,33.84µm
net32,33.78µm
_268_,33.66µm
_252_,33.46µm
_228_,33.395µm
_089_,32.62µm
_186_,32.42µm
_155_,32.1µm
_182_,31.44µm
_043_,31.22µm
_148_,29.99µm
_116_,29.72µm
_139_,29.58µm
_232_,28.54µm
_195_,28.375µm
_021_,27.92µm
_100_,27.78µm
_217_,27.74µm
_160_,27.72µm
net29,27.62µm
net61,27.44µm
_138_,27.38µm
_145_,26.94µm
_075_,26.44µm
_194_,26.36µm
_246_,26.02µm
_172_,25.8µm
net57,25.72µm
_002_,25.64µm
_205_,25.64µm
_209_,25.34µm
net20,24.92µm
_064_,24.9µm
net51,24.86µm
_096_,24.1µm
net67,24.06µm
_107_,23.93µm
_068_,23.66µm
_050_,23.34µm
_005_,23.18µm
_128_,22.6µm
_071_,22.56µm
_072_,22.3µm
_131_,22.1µm
_094_,22µm
_150_,21.96µm
net60,21.82µm
_060_,21.66µm
_037_,21.6µm
_017_,20.84µm
_176_,20.8µm
_273_,20.7µm
_088_,20.66µm
_098_,20.64µm
_229_,20.58µm
net87,20.44µm
_104_,20.4µm
_047_,20.34µm
_095_,19.94µm
_219_,19.78µm
_277_,19.52µm
_049_,19.46µm
_133_,19.44µm
_241_,19.28µm
_206_,19µm
net21,18.64µm
_078_,18.52µm
_106_,18.52µm
_282_,18.26µm
_269_,18.02µm
_117_,17.7µm
_146_,17.66µm
_041_,17.36µm
_025_,17.18µm
_279_,17.18µm
net72,16.99µm
_207_,16.94µm
_074_,16.92µm
_032_,16.86µm
_283_,16.82µm
_151_,16.72µm
_163_,16.7µm
_112_,16.14µm
_260_,15.8µm
_076_,15.76µm
_079_,15.64µm
_261_,15.56µm
_091_,15.33µm
_214_,15.32µm
_278_,15.3µm
_030_,15.22µm
_142_,15.18µm
_238_,15.18µm
_135_,15.12µm
_174_,15.08µm
_065_,15.06µm
_004_,14.86µm
_253_,14.84µm
_111_,14.82µm
_221_,14.64µm
_010_,14.58µm
_239_,14.46µm
_165_,14.42µm
_175_,14.38µm
_119_,14.22µm
_114_,14.18µm
_275_,14.14µm
_018_,14.065µm
net66,14.06µm
_048_,14.02µm
P[13],13.98µm
_099_,13.89µm
_057_,13.84µm
_063_,13.56µm
_164_,13.46µm
_109_,13.4µm
_258_,13.395µm
A[6],13.38µm
_029_,13.36µm
P[12],13.06µm
P[14],13.06µm
_093_,13.04µm
_125_,13µm
_122_,12.96µm
_027_,12.92µm
_254_,12.9µm
_011_,12.84µm
_188_,12.84µm
_244_,12.74µm
_009_,12.7µm
_237_,12.68µm
_263_,12.68µm
_052_,12.62µm
_201_,12.54µm
net64,12.54µm
_257_,12.5µm
_280_,12.48µm
_066_,12.44µm
_149_,12.38µm
P[15],12.26µm
_272_,12.26µm
_181_,12.2µm
_127_,12.16µm
_235_,12.1µm
_113_,12.02µm
_159_,11.92µm
_147_,11.82µm
_187_,11.8µm
A[0],11.78µm
_069_,11.78µm
_054_,11.67µm
_097_,11.62µm
_157_,11.52µm
net85,11.52µm
_270_,11.48µm
_136_,11.415µm
_255_,11.36µm
net3,11.16µm
_177_,11.08µm
_231_,11.08µm
_140_,11.06µm
net23,11µm
_073_,10.87µm
_169_,10.84µm
_102_,10.805µm
_156_,10.76µm
_121_,10.7µm
_045_,10.66µm
_118_,10.66µm
net52,10.66µm
_067_,10.58µm
_200_,10.5µm
A[7],10.42µm
B[6],10.42µm
_129_,10.4µm
_015_,10.36µm
_158_,10.28µm
_173_,10.26µm
_031_,10.1µm
B[7],10.08µm
_189_,10.06µm
_033_,10.04µm
_115_,9.88µm
_233_,9.82µm
P[6],9.76µm
_281_,9.72µm
A[2],9.64µm
_056_,9.36µm
_152_,9.28µm
net22,9.24µm
_012_,9.12µm
_016_,9µm
P[2],8.96µm
P[3],8.96µm
P[4],8.96µm
P[5],8.96µm
_153_,8.94µm
_087_,8.92µm
_014_,8.9µm
_028_,8.9µm
net27,8.9µm
net71,8.9µm
B[0],8.84µm
B[5],8.84µm
_034_,8.8µm
net54,8.78µm
_024_,8.74µm
A[1],8.72µm
A[3],8.72µm
B[4],8.72µm
_190_,8.7µm
_083_,8.68µm
_105_,8.56µm
_203_,8.56µm
_042_,8.44µm
net63,8.36µm
_044_,8.32µm
_230_,8.32µm
net65,8.32µm
_062_,8.24µm
_179_,8.16µm
net25,7.94µm
_227_,7.88µm
_274_,7.64µm
_256_,7.54µm
net26,7.52µm
net28,7.52µm
_038_,7.48µm
_208_,7.48µm
_262_,7.46µm
_193_,7.42µm
_055_,7.33µm
_250_,7.29µm
_070_,7.18µm
_084_,7.18µm
_180_,7.18µm
net69,7.16µm
_248_,7.06µm
