net,length_um
net11,192.4µm
net13,182.18µm
net6,174.88µm
net15,168.76µm
net4,165.12µm
net32,152.6µm
net40,144.7µm
net5,143.08µm
net8,133.28µm
net10,124.12µm
net43,121.94µm
net39,114.16µm
net34,101.94µm
_223_,101.48µm
net3,99.82µm
net12,98.68µm
net35,98.52µm
net36,91.84µm
net9,86.38µm
_050_,74.06µm
net29,68.16µm
_051_,68.02µm
_082_,66.26µm
net2,66.1µm
_129_,66.08µm
_173_,65.84µm
_068_,64.28µm
net16,63.24µm
net14,62.62µm
_014_,59.16µm
_009_,58.24µm
_174_,58.22µm
_261_,58.14µm
net1,55.26µm
_235_,55.06µm
net7,54.16µm
net33,51.14µm
_197_,51.06µm
net47,51µm
_110_,50.94µm
net26,49.2µm
_010_,48.94µm
net28,48.78µm
_136_,47.42µm
_103_,46.28µm
_260_,46.26µm
net45,46.17µm
_250_,46.04µm
net44,45.86µm
net27,45.24µm
net25,45.02µm
net30,44.82µm
net38,44.24µm
net42,43.7µm
_219_,42.82µm
_262_,42.42µm
net31,41.36µm
_143_,40.98µm
_151_,40.88µm
net19,40.34µm
_021_,39.6µm
_141_,39.4µm
_172_,39.14µm
_058_,38.88µm
_137_,37.92µm
_063_,37.66µm
_048_,37.52µm
net17,37.44µm
_005_,37.24µm
_278_,37.04µm
_094_,35.56µm
_026_,35.38µm
_008_,35.18µm
net18,34.82µm
_036_,34.44µm
_140_,34.44µm
_041_,33.8µm
_214_,33.64µm
_095_,32.78µm
_145_,32.76µm
net37,32.36µm
_272_,32.28µm
_269_,32.04µm
_119_,31.54µm
_045_,31.48µm
_160_,31.2µm
_033_,30.3µm
net41,29.9µm
_028_,29.26µm
_243_,29.2µm
_203_,29.02µm
_100_,29µm
_135_,28.68µm
_149_,28.565µm
_121_,28.46µm
_186_,27.94µm
_152_,27.52µm
_233_,27.52µm
_013_,27.285µm
_089_,27.02µm
_166_,26.9µm
_268_,26.7µm
_027_,26.68µm
_139_,26.51µm
_249_,26.26µm
_222_,26.04µm
_254_,25.9µm
_251_,25.58µm
_000_,25.47µm
net55,25.22µm
_217_,25.12µm
net21,25.02µm
_059_,24.72µm
_248_,24.71µm
net20,24.42µm
net70,24.26µm
_238_,24.24µm
_029_,24.04µm
_230_,23.9µm
_192_,23.515µm
_182_,23.42µm
_193_,22.885µm
_073_,22.76µm
_158_,22.36µm
_212_,22.26µm
_065_,21.78µm
_258_,21.6µm
net22,21.42µm
_074_,21.32µm
_016_,21.02µm
_221_,20.88µm
_266_,20.58µm
_127_,20.56µm
_105_,20.2µm
_087_,20.04µm
_274_,19.74µm
_155_,19.56µm
_099_,19.44µm
_092_,18.96µm
_234_,18.62µm
_146_,18.56µm
_239_,18.48µm
_035_,18.44µm
_187_,18.18µm
_199_,18.16µm
_204_,17.7µm
_102_,17.6µm
_283_,17.58µm
_001_,16.98µm
_157_,16.98µm
net71,16.965µm
_148_,16.82µm
_130_,16.76µm
_163_,16.76µm
_142_,16.5µm
_076_,16.42µm
_006_,16.32µm
_252_,16.26µm
_118_,16.18µm
_208_,16.06µm
_282_,15.91µm
_124_,15.8µm
_019_,15.72µm
_176_,15.56µm
_178_,15.28µm
_085_,15.22µm
_088_,14.82µm
_150_,14.8µm
_231_,14.64µm
net65,14.6µm
_188_,14.28µm
_273_,14.16µm
_177_,14.08µm
_034_,13.92µm
_267_,13.6µm
_111_,13.56µm
_011_,13.48µm
_168_,13.48µm
_198_,13.42µm
net57,13.42µm
_237_,13.38µm
_206_,13.2µm
_040_,13.18µm
_128_,13.18µm
_244_,13.14µm
_126_,13.12µm
_190_,13.12µm
P[13],13.06µm
_064_,12.89µm
P[14],12.84µm
_225_,12.74µm
_253_,12.56µm
_114_,12.54µm
_263_,12.52µm
_106_,12.48µm
_162_,12.24µm
_075_,12.18µm
_116_,12.14µm
_025_,12.12µm
_046_,12.12µm
_132_,12.08µm
P[6],12.06µm
_276_,11.74µm
net68,11.72µm
_093_,11.355µm
B[5],11.34µm
_185_,11.34µm
_279_,11.32µm
_066_,11.3µm
_165_,11.2µm
_055_,11.16µm
net52,10.96µm
_218_,10.9µm
A[6],10.88µm
A[7],10.42µm
B[6],10.42µm
B[7],10.42µm
net62,10.34µm
_018_,10.32µm
_069_,10.32µm
net66,10.32µm
_077_,10.28µm
_053_,10.26µm
_078_,10.2µm
A[5],10.1µm
_228_,10.08µm
_052_,9.88µm
_123_,9.82µm
P[7],9.76µm
P[15],9.62µm
_038_,9.58µm
_113_,9.28µm
_257_,9.28µm
_072_,9.26µm
_161_,9.24µm
net60,9.2µm
_017_,9.18µm
_191_,9.08µm
_242_,9.06µm
_207_,9.02µm
_281_,9.01µm
P[3],8.96µm
P[5],8.96µm
_241_,8.94µm
_084_,8.92µm
B[2],8.84µm
_057_,8.75µm
_229_,8.74µm
A[4],8.72µm
_147_,8.7µm
_037_,8.62µm
_134_,8.52µm
P[4],8.5µm
_056_,8.48µm
_138_,8.48µm
_180_,8.44µm
_256_,8.36µm
_080_,8.26µm
_205_,8.26µm
_280_,8.2µm
_097_,8.14µm
_201_,8.1µm
_215_,8.04µm
_112_,8µm
_047_,7.98µm
_264_,7.96µm
_104_,7.94µm
_101_,7.78µm
_109_,7.74µm
net58,7.72µm
net63,7.6µm
_179_,7.52µm
_054_,7.44µm
_067_,7.33µm
_224_,7.28µm
_004_,7.24µm
_096_,7.24µm
_020_,7.22µm
_131_,7.1µm
_167_,7.1µm
_183_,7.06µm
_194_,7.06µm
_030_,6.98µm
_213_,6.86µm
_015_,6.78µm
B[1],6.77µm
net24,6.76µm
_022_,6.72µm
_122_,6.72µm
_277_,6.67µm
_200_,6.62µm
net64,6.6µm
P[8],6.55µm
_108_,6.45µm
P[11],6.43µm
_042_,6.4µm
_098_,6.4µm
_175_,6.4µm
net50,6.36µm
_070_,6.34µm
_209_,6.26µm
_259_,6.26µm
_012_,6.06µm
net61,6.04µm
net69,6.04µm
A[2],5.97µm
net46,5.97µm
_081_,5.94µm
net48,5.9µm
_240_,5.84µm
_245_,5.8µm
_271_,5.8µm
P[10],5.75µm
P[2],5.75µm
_196_,5.72µm
_061_,5.7µm
_210_,5.68µm
_246_,5.68µm
_270_,5.6µm
B[0],5.41µm
_120_,5.38µm
_227_,5.34µm
_184_,5.26µm
_062_,5.24µm
A[0],5.07µm
A[1],5.07µm
_211_,5.02µm
A[3],4.95µm
B[4],4.95µm
_107_,4.94µm
net54,4.94µm
_060_,4.9µm
_159_,4.9µm
_255_,4.82µm
P[9],4.73µm
_090_,4.7µm
_144_,4.7µm
B[3],4.61µm
_023_,4.54µm
_202_,4.54µm
_086_,4.48µm
_195_,4.48µm
net23,4.48µm
_125_,4.46µm
_117_,4.44µm
_133_,4.42µm
P[12],4.39µm
P[1],4.39µm
_232_,4.34µm
_039_,4.24µm
_170_,4.22µm
_247_,4.06µm
_164_,4.02µm
net67,4µm
_236_,3.98µm
_007_,3.88µm
net49,3.78µm
_049_,3.68µm
_043_,3.42µm
_044_,3.42µm
_115_,3.42µm
net59,3.18µm
_171_,3.1µm
_189_,3.1µm
_024_,3.08µm
_032_,3.08µm
_156_,3.08µm
_002_,2.96µm
_169_,2.96µm
_275_,2.95µm
_031_,2.64µm
_083_,2.64µm
_003_,2.5µm
_071_,2.5µm
_153_,2.3µm
net53,2.3µm
_220_,2.28µm
_091_,2.18µm
_079_,2.16µm
_265_,2.06µm
_216_,1.84µm
net51,1.72µm
net56,1.72µm
_154_,1.7µm
_181_,1.38µm
_226_,1.38µm
