net,length_um
_224_,3.1µm
_051_,2.96µm
_139_,2.96µm
net56,2.84µm
net81,2.84µm
_079_,2.72µm
net88,2.72µm
_165_,2.64µm
_212_,2.64µm
_027_,2.62µm
_160_,2.52µm
_110_,2.5µm
_043_,2.3µm
_091_,2.3µm
net22,2.3µm
_136_,2.18µm
_001_,2.16µm
_053_,2.16µm
_123_,2.16µm
_037_,2.04µm
_180_,1.94µm
_041_,1.7µm
net109,1.6µm
