net,length_um
_026_,6.18µm
_145_,6.135µm
A[4],6.09µm
A[5],6.09µm
_047_,6.06µm
_094_,5.8µm
P[7],5.75µm
_130_,5.72µm
_250_,5.68µm
net86,5.68µm
_062_,5.6µm
P[6],5.41µm
P[9],5.41µm
_162_,5.4µm
_028_,5.26µm
_036_,5.26µm
net26,5.22µm
A[6],5.07µm
A[7],4.95µm
_208_,4.92µm
_242_,4.88µm
net76,4.82µm
_063_,4.8µm
_215_,4.8µm
_274_,4.8µm
net17,4.76µm
P[10],4.73µm
net57,4.58µm
net53,4.555µm
_173_,4.46µm
_001_,4.34µm
_058_,4.34µm
_074_,4.34µm
_155_,4.34µm
_238_,4.22µm
_024_,4.1µm
_097_,4µm
net85,4µm
net77,3.88µm
_187_,3.76µm
net66,3.76µm
_137_,3.56µm
_244_,3.32µm
_223_,3.3µm
_005_,3.22µm
_183_,3.22µm
net49,3.08µm
net70,3.08µm
net83,2.84µm
_108_,2.76µm
_224_,2.76µm
_270_,2.74µm
_019_,2.72µm
_262_,2.62µm
_280_,2.5µm
net48,2.5µm
_191_,2.16µm
_205_,2.16µm
net24,2.16µm
net72,2.16µm
_041_,2.04µm
_055_,2.04µm
_103_,1.84µm
_157_,1.84µm
_119_,1.7µm
_131_,1.7µm
_184_,1.7µm
_198_,1.7µm
_247_,1.7µm
net54,1.7µm
net55,1.7µm
_053_,1.38µm
_085_,1.38µm
net75,1.38µm
_218_,1.36µm
net58,1.02µm
_087_,0.92µm
_121_,0.92µm
