net,length_um
net8,33.62µm
net3,30.42µm
net4,19.52µm
net1,18.415µm
_1_,13.2µm
net2,13.04µm
net6,12.92µm
_0_,11.08µm
A[0],10.08µm
A[1],10.08µm
B[1],10.08µm
P[1],8.96µm
net5,5.98µm
P[0],5.07µm
B[0],4.61µm
P[2],4.39µm
P[3],4.39µm
net7,3.9µm
_2_,1.68µm
