net,length_um
net13,237.12µm
net15,172.58µm
net60,165.6µm
net35,163.21µm
net4,158.32µm
net39,154.9µm
net6,154.24µm
net9,150.81µm
net8,133.18µm
net1,129.14µm
net2,126µm
net36,120.28µm
net43,119.84µm
net37,116.22µm
net34,115.44µm
net10,102.72µm
net33,98.855µm
net47,94.86µm
net11,88.24µm
net48,88.04µm
net3,86.04µm
net12,80.2µm
net44,79.91µm
net38,71.44µm
net42,70.52µm
net16,67.24µm
_143_,64.52µm
_036_,63.42µm
net20,62.08µm
net71,60.24µm
net40,60.14µm
_061_,59.82µm
net14,59.6µm
net45,59.05µm
net19,57.74µm
net18,55.22µm
_102_,53.54µm
_175_,52.04µm
_222_,50.4µm
_078_,48.965µm
net46,47.7µm
net32,47.64µm
_112_,44.445µm
net75,44.34µm
_115_,44.28µm
_195_,43.45µm
_077_,41.88µm
_116_,41.74µm
_087_,41.34µm
net21,40.82µm
net31,40.6µm
net30,39.06µm
net41,38.24µm
_153_,37.64µm
_185_,37.44µm
_015_,36.93µm
_164_,36.62µm
net57,36.4µm
_080_,35.8µm
_049_,35.22µm
_212_,34.72µm
_163_,34.66µm
_210_,33.8µm
net5,33.16µm
_089_,33.08µm
_023_,32.94µm
_024_,32.94µm
net29,32.24µm
_017_,31.16µm
_000_,31µm
_227_,30.58µm
_018_,30.2µm
_104_,30.04µm
_197_,29.7µm
_218_,28.6µm
_004_,28.54µm
_173_,28.46µm
_013_,27.92µm
_034_,27.6µm
_178_,27.39µm
net27,27µm
_171_,26.74µm
_166_,26.71µm
_006_,26.63µm
net58,26.22µm
_052_,25.93µm
_019_,25.84µm
_203_,25.84µm
_074_,25.8µm
net28,25.76µm
_220_,25.48µm
_230_,25.42µm
_031_,24.62µm
_223_,24.61µm
_120_,24.6µm
_133_,24.58µm
_200_,24.22µm
_226_,23.76µm
net56,23.76µm
net49,23.54µm
_128_,23.22µm
net54,22.92µm
_188_,22.895µm
_205_,22.84µm
net7,22.7µm
_075_,21.84µm
_071_,21.76µm
_177_,21.62µm
net26,21.58µm
_109_,21.1µm
_043_,20.74µm
_186_,20.4µm
_121_,20.34µm
_217_,20.26µm
_041_,19.86µm
_211_,19.8µm
_154_,19.62µm
_228_,19.62µm
_183_,19.1µm
_117_,19µm
_083_,18.82µm
_099_,18.705µm
_096_,18.7µm
_151_,18.52µm
_216_,18.52µm
_081_,18.5µm
_058_,17.98µm
_097_,17.76µm
_207_,17.68µm
_119_,17.44µm
_014_,17.22µm
net55,17.14µm
_033_,16.86µm
_198_,16.7µm
_180_,16.67µm
_093_,16.6µm
_199_,16.5µm
