net,length_um
net45,155.3µm
net44,153.44µm
net49,152.9µm
net13,150.04µm
net41,142.11µm
net37,137.16µm
net35,128.975µm
net48,128.02µm
net36,125.33µm
net10,117.54µm
net5,116.54µm
net4,115.75µm
net38,115.42µm
net43,111.04µm
_237_,109.94µm
net6,109.64µm
net34,109µm
net2,108.44µm
net42,100.24µm
net3,95.12µm
net47,89.36µm
_004_,89µm
net1,84.5µm
net46,82.82µm
net11,79.02µm
_022_,77.08µm
net9,75.42µm
net39,74.82µm
_203_,73.4µm
net16,71.12µm
net14,67.44µm
_024_,67.26µm
net15,65.6µm
_134_,64.26µm
_069_,61.72µm
_036_,57.76µm
net31,57.76µm
_108_,56.72µm
net20,55.74µm
net93,55.56µm
_148_,52.88µm
net40,52.88µm
net32,52.4µm
_044_,51.6µm
net30,50.54µm
net18,49.9µm
net19,48.26µm
_216_,46.26µm
_026_,44.12µm
_164_,43.51µm
_037_,41.78µm
_231_,41.36µm
_135_,41.02µm
net26,40.2µm
_124_,39.84µm
_210_,38.24µm
_180_,38.06µm
net50,38.02µm
net12,37.94µm
_238_,37.02µm
_081_,36.96µm
_145_,36.48µm
_252_,35.46µm
_212_,35.2µm
_099_,34.7µm
_082_,34.645µm
_010_,34.32µm
_207_,33.26µm
_149_,32.74µm
_058_,32.1µm
_204_,32.08µm
net29,32.04µm
_066_,32µm
_078_,31.96µm
net8,31.82µm
_043_,31.67µm
_007_,31.4µm
_227_,31.225µm
net95,31.06µm
_016_,30.68µm
_220_,30.535µm
_104_,30.06µm
_193_,28.66µm
_033_,28.635µm
_172_,28.34µm
_232_,28.3µm
_052_,27.44µm
_063_,27.44µm
net27,27.44µm
_211_,27µm
net28,26.98µm
_226_,25.88µm
_250_,25.8µm
_020_,25.61µm
_118_,25.6µm
_206_,25.575µm
_097_,25.38µm
_080_,25.02µm
_121_,24.8µm
_261_,24.66µm
_169_,24.14µm
_208_,22.94µm
_165_,22.54µm
_002_,21.78µm
_229_,21.36µm
_067_,21.08µm
_260_,20.92µm
_131_,20.685µm
_195_,20.54µm
_196_,20.42µm
_245_,20.1µm
net21,20.02µm
_154_,19.96µm
_120_,19.78µm
_130_,19.72µm
_199_,19.38µm
_235_,19.38µm
_117_,19.315µm
net84,19.26µm
_228_,19.12µm
_045_,18.94µm
_111_,18.64µm
_254_,18.585µm
_115_,18.44µm
net7,18.26µm
_084_,18.2µm
_050_,18.06µm
_098_,17.98µm
_223_,17.55µm
P[15],17.52µm
net54,17.22µm
_090_,17.16µm
_023_,17.08µm
_219_,17.06µm
_074_,17.02µm
_031_,16.805µm
_048_,16.78µm
_103_,16.72µm
_110_,16.68µm
_075_,16.48µm
_142_,16.43µm
_064_,16.32µm
_151_,16.2µm
_161_,16.16µm
_137_,15.82µm
_255_,15.82µm
_128_,15.48µm
P[14],15.36µm
_234_,15.12µm
_034_,15.08µm
_129_,15.06µm
_056_,15.02µm
_140_,14.72µm
_166_,14.7µm
_094_,14.665µm
_183_,14.66µm
_191_,14.22µm
_040_,13.84µm
_141_,13.78µm
_070_,13.74µm
_077_,13.56µm
_107_,13.56µm
_013_,13.34µm
_157_,13.32µm
_087_,13.3µm
_116_,13.28µm
_054_,13.16µm
P[13],13.06µm
_113_,13.04µm
_200_,12.96µm
net58,12.8µm
_243_,12.76µm
_152_,12.72µm
_138_,12.64µm
_194_,12.58µm
_047_,12.52µm
_256_,12.5µm
_122_,12.495µm
B[5],12.38µm
_106_,12.27µm
_112_,12.255µm
_012_,12.16µm
_019_,12.08µm
_251_,12.035µm
_241_,12µm
_038_,11.93µm
_125_,11.82µm
_042_,11.74µm
_187_,11.7µm
_248_,11.7µm
net33,11.58µm
_035_,11.52µm
_029_,11.5µm
net97,11.5µm
A[6],11.34µm
A[7],11.34µm
B[7],11.34µm
_089_,11.02µm
B[6],10.88µm
_217_,10.875µm
_150_,10.74µm
_059_,10.7µm
P[6],10.68µm
P[7],10.68µm
_127_,10.62µm
_061_,10.5µm
_244_,10.41µm
_224_,10.38µm
_105_,10.3µm
_162_,10.04µm
_215_,9.74µm
_092_,9.405µm
_028_,9.36µm
_253_,9.32µm
_201_,9.3µm
net90,9.14µm
net60,9.12µm
_240_,9.08µm
net91,9.08µm
_021_,9.02µm
_192_,9µm
net92,8.98µm
P[3],8.96µm
P[4],8.96µm
_190_,8.9µm
A[3],8.84µm
_017_,8.8µm
_144_,8.78µm
A[0],8.72µm
A[1],8.72µm
A[2],8.72µm
B[4],8.72µm
_083_,8.52µm
_249_,8.52µm
P[5],8.5µm
_222_,8.5µm
_046_,8.48µm
_015_,8.44µm
_198_,8.36µm
_185_,8.24µm
_188_,8.14µm
_005_,8.02µm
_091_,7.93µm
_086_,7.9µm
_101_,7.73µm
net22,7.64µm
_176_,7.6µm
_257_,7.52µm
_214_,7.45µm
_027_,7.44µm
_175_,7.32µm
_247_,7.24µm
_147_,7.2µm
_168_,7.17µm
net98,7.04µm
net17,6.9µm
_049_,6.86µm
_051_,6.76µm
_225_,6.755µm
_053_,6.72µm
_143_,6.64µm
_041_,6.6µm
_126_,6.32µm
_242_,6.3µm
_178_,6.26µm
P[9],6.21µm
_155_,6.18µm
_171_,6.18µm
_132_,6.14µm
net88,6.12µm
B[2],6.09µm
P[11],6.09µm
_246_,5.98µm
B[3],5.97µm
_093_,5.94µm
P[12],5.87µm
_060_,5.86µm
_202_,5.8µm
P[1],5.75µm
_000_,5.74µm
net86,5.74µm
_062_,5.68µm
_179_,5.68µm
_233_,5.68µm
B[0],5.63µm
_009_,5.6µm
_073_,5.6µm
_184_,5.48µm
_262_,5.48µm
A[5],5.41µm
P[10],5.41µm
P[2],5.41µm
_011_,5.38µm
_174_,5.38µm
net25,5.38µm
_182_,5.14µm
B[1],5.07µm
P[0],5.07µm
_039_,5.06µm
A[4],4.95µm
_071_,4.94µm
_160_,4.94µm
_076_,4.92µm
_025_,4.9µm
_109_,4.9µm
_177_,4.88µm
net82,4.88µm
net85,4.88µm
P[8],4.85µm
_221_,4.8µm
net51,4.76µm
_072_,4.565µm
_065_,4.48µm
net24,4.48µm
net57,4.48µm
_213_,4.46µm
_209_,4.44µm
_167_,4.36µm
_258_,4.32µm
_156_,4.02µm
_218_,4µm
_055_,3.98µm
net53,3.88µm
net59,3.88µm
_085_,3.76µm
net52,3.76µm
_100_,3.56µm
_139_,3.54µm
_003_,3.52µm
_173_,3.44µm
net89,3.42µm
_159_,3.32µm
_170_,3.32µm
net87,3.3µm
_181_,3.22µm
_197_,3.22µm
net62,3.22µm
net61,3.1µm
net96,3.1µm
_068_,3.08µm
_189_,3.08µm
_230_,3.08µm
_236_,2.86µm
_001_,2.62µm
_008_,2.5µm
_057_,2.5µm
net83,2.5µm
_158_,2.4µm
_096_,2.3µm
_133_,2.18µm
_006_,2.16µm
_030_,2.16µm
net55,2.16µm
_123_,2.06µm
_136_,2.06µm
_014_,2.04µm
_114_,2.04µm
_119_,2.04µm
net23,2.04µm
_088_,1.84µm
_018_,1.7µm
_095_,1.7µm
_102_,1.7µm
_163_,1.7µm
_259_,1.7µm
net56,1.7µm
_079_,1.6µm
_146_,1.48µm
net94,1.48µm
_205_,1.38µm
_239_,1.38µm
_032_,0.92µm
_153_,0.92µm
_186_,0.46µm
