net,length_um
net37,195.295µm
net36,195.02µm
net5,191.56µm
net46,176.11µm
net48,166.62µm
net49,166.23µm
net34,165.78µm
net45,160.78µm
net33,156.34µm
net6,149.24µm
net9,148.94µm
net44,146.86µm
net35,141.28µm
net43,131.33µm
net51,128.58µm
net42,126.38µm
net64,124.38µm
net8,123.62µm
net50,121.56µm
net7,119.76µm
net3,117.76µm
net4,105.98µm
net13,104.5µm
net41,103.98µm
net40,102.74µm
net16,94.825µm
net12,94.36µm
net15,91.44µm
net39,86.34µm
net38,85.52µm
_159_,80.02µm
net47,78.96µm
net52,75.2µm
_271_,66.26µm
_251_,62.43µm
_026_,61.82µm
net31,60.82µm
net29,60.6µm
net30,58.94µm
_083_,53.46µm
_160_,53.32µm
net18,52.7µm
net17,52.62µm
_114_,50.8µm
net23,50.3µm
_211_,48.76µm
_186_,48.5µm
_074_,48.35µm
net69,48.28µm
net24,46.12µm
net1,45.96µm
_247_,44.86µm
_048_,43.98µm
_028_,43.78µm
_133_,43.78µm
_213_,42.96µm
_089_,41.61µm
_221_,41.28µm
_103_,40.24µm
net2,38.64µm
_187_,38.18µm
net28,37.68µm
net19,37.44µm
_228_,36.98µm
_067_,34.86µm
net11,34.28µm
_191_,34.26µm
_156_,33.92µm
_080_,33.7µm
_208_,32.74µm
_202_,32.28µm
_061_,31.34µm
_219_,31.2µm
_167_,30.76µm
_225_,30.5µm
_105_,30.46µm
_139_,30.38µm
_147_,30.36µm
_261_,29.81µm
_143_,29.32µm
_153_,29.04µm
_138_,28.48µm
net10,28.28µm
net20,28.18µm
_030_,28.02µm
_041_,27.56µm
_097_,27.56µm
_134_,27.52µm
_063_,27.28µm
_088_,26.86µm
_015_,26.44µm
_203_,25.92µm
_172_,25.8µm
_145_,25.7µm
_014_,25.26µm
_260_,25.26µm
_226_,24.72µm
_019_,24.42µm
_258_,24.38µm
_072_,24.34µm
_055_,23.92µm
_011_,22.74µm
_124_,22.54µm
_192_,22.34µm
_163_,22.14µm
_004_,22.12µm
_206_,22.08µm
net27,22.08µm
_075_,22.02µm
_142_,22µm
_119_,21.98µm
_052_,21.62µm
_230_,21.325µm
net26,20.86µm
_196_,20.78µm
_270_,20.76µm
_006_,20.54µm
_031_,20.54µm
_057_,20.42µm
_233_,19.86µm
_081_,19.54µm
_127_,19.4µm
_268_,19.32µm
_110_,19.28µm
_262_,19.18µm
_084_,18.64µm
_040_,18.6µm
_264_,18.58µm
_205_,18.52µm
_255_,18.48µm
_071_,18.16µm
_136_,18.12µm
_237_,18.12µm
net25,17.98µm
_012_,17.74µm
_149_,17.74µm
_034_,17.66µm
_224_,17.46µm
_169_,17.4µm
_050_,17.14µm
_217_,17.02µm
_125_,16.68µm
_182_,16.56µm
_044_,16.42µm
_252_,16.36µm
_236_,16.32µm
_115_,16.16µm
net53,16.12µm
_265_,16.06µm
_240_,15.98µm
_164_,15.86µm
_117_,15.85µm
_177_,15.82µm
_023_,15.76µm
_244_,15.76µm
_111_,15.38µm
P[12],15.36µm
_078_,15.28µm
_135_,15.22µm
_238_,15.22µm
_130_,15.14µm
_199_,15.14µm
_027_,15.06µm
_181_,14.98µm
_049_,14.42µm
_242_,14.4µm
_024_,14.36µm
_161_,14.22µm
_116_,14.2µm
net58,14.065µm
_038_,13.96µm
_193_,13.92µm
_144_,13.8µm
_173_,13.8µm
