net,length_um
net6,29.64µm
net5,24.68µm
net3,13.42µm
net2,7.78µm
net4,7.54µm
net1,6.18µm
A[1],5.97µm
P[0],5.75µm
B[1],5.63µm
pp0,5.52µm
P[1],5.07µm
A[0],4.95µm
B[0],4.61µm
net8,4.61µm
net7,4.46µm
P[2],4.39µm
