net,length_um
net37,151.23µm
net34,145.38µm
net36,142.24µm
net13,141.96µm
net35,134.78µm
net50,131.07µm
_245_,125.82µm
net46,119.28µm
net40,112.27µm
net44,108.57µm
net49,104.28µm
net1,102.5µm
_005_,101.18µm
net6,98.66µm
_023_,96.74µm
net16,95.6µm
net2,94.54µm
net64,94.06µm
net48,91.22µm
net5,91.06µm
net11,90.94µm
net15,90.86µm
net47,90.17µm
net63,89.4µm
net38,83.04µm
net33,82.11µm
net42,79.96µm
net43,75.2µm
net45,74.44µm
net3,72.88µm
net4,71.98µm
_070_,69.58µm
net62,69.46µm
_246_,69.32µm
net29,68.96µm
_211_,66.24µm
_250_,65.66µm
net25,63.34µm
_208_,61.98µm
net19,58.62µm
net14,58.16µm
_047_,57.52µm
net30,57.2µm
_140_,54.96µm
_153_,54.42µm
net31,53.86µm
_182_,52.24µm
_109_,51.48µm
net20,51.04µm
_258_,50.77µm
net18,49.9µm
_079_,48.8µm
_128_,48.04µm
net26,46.58µm
_239_,46.135µm
net17,46µm
_256_,44.24µm
_234_,42.98µm
net28,42.92µm
_025_,42.34µm
net41,42.015µm
_011_,39.76µm
_209_,39.32µm
net51,39.255µm
_183_,38.3µm
_082_,37.54µm
net10,37.24µm
_154_,37.1µm
net27,36.98µm
net8,36.4µm
_217_,34.7µm
net59,34.6µm
_100_,34.13µm
_034_,33.98µm
_068_,33.66µm
_046_,33.54µm
net9,33.4µm
_150_,33.18µm
_198_,33.12µm
_168_,32.87µm
_083_,32.635µm
_122_,32.56µm
_098_,32.46µm
_105_,32.24µm
_060_,31.2µm
_065_,30.58µm
_213_,30.26µm
net39,29.86µm
net81,29.14µm
_008_,28.36µm
_119_,27.68µm
_227_,26.815µm
_002_,25.82µm
_157_,25.82µm
_048_,25.64µm
_055_,25.22µm
_230_,25.16µm
_081_,25.02µm
net80,24.76µm
_021_,24.61µm
_125_,24.22µm
_039_,24.18µm
_235_,24.17µm
_173_,24.14µm
_091_,23.96µm
_201_,23.925µm
_223_,23.92µm
_194_,23.82µm
_027_,23.56µm
_137_,23.38µm
_138_,23.38µm
_121_,23.18µm
_158_,22.96µm
_024_,22.74µm
_053_,22.54µm
_013_,22.5µm
_017_,22.34µm
_240_,22.32µm
_180_,21.8µm
_090_,21.54µm
_110_,21.28µm
_133_,21.26µm
net12,21.08µm
_113_,21.06µm
_226_,20.28µm
_224_,20.24µm
_124_,19.98µm
_076_,19.92µm
_143_,19.54µm
_205_,19.38µm
net57,19.14µm
_069_,18.465µm
_058_,18.4µm
_061_,18.32µm
_169_,18.28µm
_253_,18.12µm
net7,17.74µm
_177_,17.44µm
_269_,17.16µm
_262_,17.01µm
_188_,16.72µm
_200_,16.48µm
_237_,16.32µm
_032_,16.145µm
_161_,16.1µm
_085_,16.02µm
_001_,15.82µm
_175_,15.76µm
_259_,15.76µm
P[13],15.36µm
_075_,15.26µm
_071_,15.02µm
_147_,15.02µm
_228_,14.95µm
_134_,14.8µm
_165_,14.8µm
_030_,14.6µm
_126_,14.5µm
_117_,14.34µm
_156_,14.26µm
